category,rating,prompt_style,text,is_fake,source_dataset,generator
mobile_app,4,naive,"Solid app overall with a clean design. Would appreciate a dark mode option and slightly faster load times, but it gets the job done reliably.",True,own_corpus_claude_sonnet5,claude-sonnet-5
mobile_app,5,naive,I use this app every single day and it never lets me down. The developers clearly listen to user feedback because every update feels like it addresses real needs.,True,own_corpus_claude_sonnet5,claude-sonnet-5
mobile_app,5,naive,Switched to this app after years of using a competitor and I'm never going back. The learning curve was minimal and the free tier is genuinely generous.,True,own_corpus_claude_sonnet5,claude-sonnet-5
mobile_app,3,adversarial,it works i guess? ui feels a little dated compared to other apps in this space but does what it says on the tin. no major complaints,True,own_corpus_claude_sonnet5,claude-sonnet-5
mobile_app,5,adversarial,downloaded this on a whim after seeing it recommended somewhere and honestly kinda addicted now lol. the notifications are actually useful instead of annoying which is rare,True,own_corpus_claude_sonnet5,claude-sonnet-5
mobile_app,2,adversarial,battery drain is real with this one. otherwise the features are decent but my phone dies twice as fast when its running in the background,True,own_corpus_claude_sonnet5,claude-sonnet-5
mobile_app,5,adversarial,"not the type to leave app store reviews but this one deserves it. customer support actually replied to my ticket within a day, didn't expect that honestly",True,own_corpus_claude_sonnet5,claude-sonnet-5
skincare_product,5,naive,"This serum has completely transformed my skin! After just two weeks of use, my complexion looks brighter and more even. The texture is lightweight and absorbs quickly. I'm obsessed and already ordered a backup bottle.",True,own_corpus_claude_sonnet5,claude-sonnet-5
skincare_product,5,naive,I have very sensitive skin and this is the first product in years that hasn't caused any irritation. My redness has calmed down significantly and my skin feels so much softer.,True,own_corpus_claude_sonnet5,claude-sonnet-5
skincare_product,1,naive,"Broke out badly after using this for less than a week. Had to stop immediately. Very disappointed given all the hype around this product, definitely not for sensitive skin.",True,own_corpus_claude_sonnet5,claude-sonnet-5
skincare_product,4,naive,"Nice lightweight moisturizer that layers well under makeup. Takes a bit longer than advertised to see real results, but I have noticed some improvement in hydration.",True,own_corpus_claude_sonnet5,claude-sonnet-5
skincare_product,5,naive,My dermatologist recommended something similar and this is a great affordable alternative. My fine lines look noticeably softer after a month of consistent use. Will repurchase for sure.,True,own_corpus_claude_sonnet5,claude-sonnet-5
skincare_product,5,naive,This has become a holy grail product for me. The packaging is also really elegant and the pump dispenser makes it easy to control how much product you use.,True,own_corpus_claude_sonnet5,claude-sonnet-5
skincare_product,5,adversarial,wasn't going to buy this bc of the price but my skin has genuinely never looked better after like 3 weeks. still a little skeptical it'll last but so far so good,True,own_corpus_claude_sonnet5,claude-sonnet-5
skincare_product,2,adversarial,"smells nice, texture is fine, but i just didn't see the results everyone talks about. maybe my skin is just picky idk",True,own_corpus_claude_sonnet5,claude-sonnet-5
skincare_product,5,adversarial,"my sister gave me a sample of this and i immediately went and bought the full size lol. the glow is real, not even using a filter in my before/afters",True,own_corpus_claude_sonnet5,claude-sonnet-5
skincare_product,4,adversarial,"decent, does what it says. takes forever to fully absorb tho so i only use it at night now instead of under makeup",True,own_corpus_claude_sonnet5,claude-sonnet-5
gym,5,naive,"This gym has completely changed my fitness routine. The equipment is always well maintained, classes are challenging but fun, and the trainers genuinely care about your progress. Best gym I've ever been a member of.",True,own_corpus_claude_sonnet5,claude-sonnet-5
gym,5,naive,"Clean facilities, friendly staff, and a great variety of classes throughout the week. I've seen real improvement in my strength since joining a few months ago. Highly recommend for anyone serious about fitness.",True,own_corpus_claude_sonnet5,claude-sonnet-5
gym,1,naive,Cancelled my membership after constant issues with broken equipment that took weeks to get fixed. Staff were unhelpful when I raised concerns. Would not recommend based on my experience.,True,own_corpus_claude_sonnet5,claude-sonnet-5
gym,4,naive,"Good gym overall with a solid range of machines and free weights. Can get quite crowded during peak evening hours, but the staff are always polite and helpful.",True,own_corpus_claude_sonnet5,claude-sonnet-5
gym,5,naive,The personal trainers here are fantastic. My trainer built a program specifically around my goals and I've made more progress in three months than I did in years on my own.,True,own_corpus_claude_sonnet5,claude-sonnet-5
gym,5,naive,Love the community vibe at this gym. Everyone is encouraging and the group classes push you without being intimidating. The locker rooms are also always spotless.,True,own_corpus_claude_sonnet5,claude-sonnet-5
gym,3,adversarial,"gym itself is fine, machines work, showers are decent. just wish they didn't blast the same playlist every single day, gets old fast",True,own_corpus_claude_sonnet5,claude-sonnet-5
gym,5,adversarial,joined on a whim after a free trial class and actually stuck with it for once lol. the early morning classes are surprisingly not that packed which is a win for me,True,own_corpus_claude_sonnet5,claude-sonnet-5
gym,2,adversarial,"parking lot is a nightmare after 5pm, by the time you find a spot you've already lost motivation to work out. gym floor itself is fine though",True,own_corpus_claude_sonnet5,claude-sonnet-5
gym,5,adversarial,not a gym person at all but the trainer here made it actually enjoyable somehow. didn't feel judged as a beginner which honestly means a lot,True,own_corpus_claude_sonnet5,claude-sonnet-5
plumber_service,5,naive,"Called for an emergency leak and they arrived within the hour. The plumber was professional, explained everything clearly, and fixed the issue quickly without trying to upsell unnecessary services. Highly recommend.",True,own_corpus_claude_sonnet5,claude-sonnet-5
plumber_service,5,naive,"Fantastic service from start to finish. Fair pricing, punctual arrival, and the work was done cleanly with no mess left behind. Will definitely be calling them again for future plumbing needs.",True,own_corpus_claude_sonnet5,claude-sonnet-5
plumber_service,1,naive,Overcharged us significantly for a simple repair and the same issue came back within a week. Had to call a different company to actually fix it properly. Very disappointing experience.,True,own_corpus_claude_sonnet5,claude-sonnet-5
plumber_service,4,naive,"Good experience overall. The technician was knowledgeable and courteous, though scheduling took longer than I expected. The repair itself has held up well so far.",True,own_corpus_claude_sonnet5,claude-sonnet-5
plumber_service,5,naive,They replaced our old water heater efficiently and answered all our questions patiently. Pricing was transparent from the initial quote to the final invoice. Great company to work with.,True,own_corpus_claude_sonnet5,claude-sonnet-5
plumber_service,5,adversarial,had a pipe burst at like 11pm and these guys actually picked up the phone and came out same night. wasn't cheap but honestly worth it given the situation,True,own_corpus_claude_sonnet5,claude-sonnet-5
plumber_service,2,adversarial,showed up late without a call and the guy seemed rushed the whole time. fixed the immediate problem but i'm not fully convinced it's a long term fix,True,own_corpus_claude_sonnet5,claude-sonnet-5
plumber_service,5,adversarial,"my landlord usually handles this stuff but he was out of town so i called these guys myself. surprisingly painless, explained the issue in normal terms instead of talking over my head",True,own_corpus_claude_sonnet5,claude-sonnet-5
plumber_service,4,adversarial,"did the job, cleaned up after themselves which i genuinely appreciated. price was a little higher than i expected going in but not outrageous",True,own_corpus_claude_sonnet5,claude-sonnet-5
plumber_service,5,adversarial,"honestly dreaded calling a plumber bc of horror stories from friends but this was smooth. quoted a price and stuck to it exactly, no surprise fees at the end",True,own_corpus_claude_sonnet5,claude-sonnet-5
clothing_boutique,5,naive,"Found the most beautiful dress here for my sister's wedding. The staff helped me find the perfect fit and style, and the quality of the fabric is outstanding for the price. Will definitely be back.",True,own_corpus_claude_sonnet5,claude-sonnet-5
clothing_boutique,5,naive,This boutique has such a unique selection you won't find anywhere else. The owner clearly has great taste and the staff are so helpful without being pushy. Love supporting a local business like this.,True,own_corpus_claude_sonnet5,claude-sonnet-5
clothing_boutique,1,naive,Ordered online and the item that arrived looked nothing like the photos. Customer service was slow to respond and refused a refund even though the product was clearly misrepresented.,True,own_corpus_claude_sonnet5,claude-sonnet-5
clothing_boutique,4,naive,Cute little shop with trendy pieces. Prices are a bit higher than I'd like but the quality does justify it somewhat. Fitting rooms are small but staff are friendly.,True,own_corpus_claude_sonnet5,claude-sonnet-5
clothing_boutique,5,naive,I always find something special whenever I visit. The staff remember my style preferences and always point me toward pieces I end up loving. Such a wonderful shopping experience every time.,True,own_corpus_claude_sonnet5,claude-sonnet-5
clothing_boutique,5,adversarial,my friend dragged me in here bc she needed an outfit for an interview and honestly ended up finding something for myself too lol. staff weren't hovering which i appreciated,True,own_corpus_claude_sonnet5,claude-sonnet-5
clothing_boutique,3,adversarial,"selection is nice but sizing runs weird, ordered my usual size online and it didn't fit at all. had to exchange which was a hassle",True,own_corpus_claude_sonnet5,claude-sonnet-5
clothing_boutique,5,adversarial,"small shop, kinda easy to miss from outside but worth going in. found a jacket i've literally been searching for all winter",True,own_corpus_claude_sonnet5,claude-sonnet-5
clothing_boutique,2,adversarial,"prices felt steep for what you're getting tbh. quality is fine, nothing special, wouldn't rush back honestly",True,own_corpus_claude_sonnet5,claude-sonnet-5
clothing_boutique,5,adversarial,went in for one specific thing and left with a full new outfit bc the girl helping me actually knew what she was talking about style-wise,True,own_corpus_claude_sonnet5,claude-sonnet-5
saas_tool,5,naive,"This tool has streamlined our entire workflow. The onboarding process was smooth, integrations with our other software worked seamlessly, and their support team responded within minutes. Couldn't recommend it more to other small businesses.",True,own_corpus_claude_sonnet5,claude-sonnet-5
saas_tool,5,naive,We switched our whole team over to this platform and haven't looked back. The dashboard is intuitive and the automation features have saved us countless hours every week. Worth every penny.,True,own_corpus_claude_sonnet5,claude-sonnet-5
saas_tool,1,naive,Constant downtime over the past month has caused serious disruptions to our business. Support tickets take days to get a response despite paying for a premium plan. Considering switching providers.,True,own_corpus_claude_sonnet5,claude-sonnet-5
saas_tool,4,naive,"Solid platform with a lot of useful features. The learning curve for new team members is a bit steep, but once you're familiar with it, it's genuinely powerful.",True,own_corpus_claude_sonnet5,claude-sonnet-5
saas_tool,5,naive,The customer success team went above and beyond helping us set up custom reporting for our specific needs. This level of support is rare to find with SaaS products these days.,True,own_corpus_claude_sonnet5,claude-sonnet-5
saas_tool,5,naive,Been using this for over a year now and the consistent updates keep adding real value. Pricing is fair for the amount of functionality you get compared to competitors.,True,own_corpus_claude_sonnet5,claude-sonnet-5
saas_tool,3,adversarial,does the job but the mobile version feels like an afterthought compared to desktop. wish they'd invest more there since half our team works remote,True,own_corpus_claude_sonnet5,claude-sonnet-5
saas_tool,5,adversarial,was skeptical after switching from a tool we used for years but the migration was way smoother than expected. support actually walked us through it step by step,True,own_corpus_claude_sonnet5,claude-sonnet-5
saas_tool,2,adversarial,"pricing tiers are confusing honestly, ended up paying for features we don't even use. product itself works fine when it's not glitching out",True,own_corpus_claude_sonnet5,claude-sonnet-5
saas_tool,5,adversarial,not usually the one on my team who deals with software reviews but this one earned it. genuinely cut our reporting time in half within the first month,True,own_corpus_claude_sonnet5,claude-sonnet-5
